PASS|AVG RUNNING TIME|AVG PENDING TIME|JOB RUNNING TIME|AVG CLUSTER CPU UTILS
0|214|319|624,631,616,606,598,583,0,0,0,0,0,0,28,114,32,36,48,110,128,128|54.78
AVG|214|319|N/A|54.78
