PASS|AVG RUNNING TIME|AVG PENDING TIME|JOB RUNNING TIME|AVG CLUSTER CPU UTILS
0|354|39|438,433,427,428,423,416,412,0,369,330,328,372,321,367,372,333,331,325,336,331|71.70
AVG|354|39|N/A|71.70
