TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
5|400|0|53.43
10|400|15|58.20
16|400|66|70.76
21|400|75|72.72
27|400|130|86.18
77|400|128|88.10
111|400|99|82.26
117|384|120|86.05
122|304|129|77.75
128|300|130|77.45
150|300|133|78.09
159|300|172|86.39
187|300|170|87.16
194|300|156|84.18
202|300|172|87.59
215|251|172|81.32
222|201|189|78.56
228|200|189|78.43
234|200|196|79.92
241|200|197|80.13
308|152|197|74.00
315|104|234|75.75
321|100|260|80.77
353|100|256|79.92
360|100|260|80.77
398|115|260|82.69
405|175|260|90.35
716|164|260|88.95
723|139|260|85.75
730|68|260|76.68
736|5|116|35.84
740|1|3|5.35
743|1|0|2.96
