PASS|AVG RUNNING TIME|AVG PENDING TIME|JOB RUNNING TIME|AVG CLUSTER CPU UTILS
0|191|308|680,664,646,634,613,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0|65.27
AVG|191|308|N/A|65.27
