TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
3|400|0|53.43
6|400|14|57.99
10|400|22|60.71
14|400|70|71.61
17|400|120|84.01
21|400|126|87.03
50|400|125|88.48
54|400|121|87.63
58|400|124|88.27
62|400|126|88.69
91|400|78|78.47
94|400|38|71.15
98|382|42|70.38
101|303|85|69.44
105|301|117|76.00
109|301|161|85.37
113|300|161|85.24
139|300|149|82.69
143|300|161|85.24
147|300|168|86.73
189|299|168|86.61
192|213|168|75.62
195|207|168|74.85
199|202|168|74.21
202|200|168|73.96
209|200|193|79.28
213|200|194|79.49
282|146|194|72.59
285|102|198|67.82
288|101|215|71.32
292|100|263|81.41
295|100|265|81.84
346|100|259|80.56
354|100|265|81.84
374|160|265|89.50
379|168|265|90.52
403|168|264|90.31
407|170|264|90.57
431|170|247|86.95
435|170|220|81.20
438|199|221|85.12
442|200|221|85.24
446|200|181|76.73
450|200|189|78.43
454|200|235|88.22
458|200|236|88.44
467|225|236|91.63
476|228|232|91.16
480|233|232|91.80
484|233|227|90.74
489|233|229|91.16
497|233|232|91.80
521|233|168|78.17
525|233|157|75.83
529|233|179|80.52
533|260|208|90.14
565|260|198|88.01
569|272|198|89.54
603|272|126|74.21
607|306|144|82.39
611|312|149|84.22
624|339|149|87.67
640|339|146|87.03
643|339|140|85.75
652|339|146|87.03
657|339|149|87.67
686|340|148|87.59
690|342|147|87.63
694|296|147|81.75
697|271|146|78.34
701|212|145|70.59
704|141|144|61.31
707|90|140|53.94
709|33|84|33.67
711|17|80|29.71
713|11|32|16.97
715|7|18|12.24
716|4|8|8.88
718|3|3|5.81
719|3|0|4.58
