TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
3|400|3|54.41
7|400|15|58.20
10|400|30|63.10
14|400|33|64.97
17|400|45|68.08
21|400|59|72.81
24|400|61|74.43
28|400|75|77.96
32|400|90|82.90
96|396|90|82.39
100|307|90|71.02
103|304|90|70.64
107|300|90|70.12
190|217|90|59.52
193|205|90|57.99
196|201|90|57.47
199|200|90|57.35
279|145|90|50.32
282|108|90|45.59
284|104|90|45.08
287|102|90|44.83
290|100|90|44.57
368|111|90|45.98
371|179|90|54.66
374|200|90|57.35
460|218|90|59.65
463|296|90|69.61
467|300|90|70.12
555|390|90|81.62
558|400|90|82.90
687|394|90|82.13
690|312|90|71.66
693|254|90|64.25
696|207|90|58.24
699|147|90|50.58
701|97|90|44.19
704|43|78|34.56
706|19|61|26.34
707|16|53|22.85
709|7|37|16.76
711|3|30|13.65
712|1|15|9.14
714|0|13|7.35
715|0|0|4.24
