PASS|AVG RUNNING TIME|AVG PENDING TIME|JOB RUNNING TIME|AVG CLUSTER CPU UTILS
0|206|309|613,600,596,584,577,566,0,0,0,0,0,0,0,0,0,122,103,125,125,114|56.00
AVG|206|309|N/A|56.00
