PASS|AVG RUNNING TIME|AVG PENDING TIME|JOB RUNNING TIME|AVG CLUSTER CPU UTILS
0|198|305|605,595,579,576,561,556,0,0,0,0,0,0,0,0,0,0,118,122,122,129|54.12
AVG|198|305|N/A|54.12
