PASS|AVG RUNNING TIME|AVG PENDING TIME|JOB RUNNING TIME|AVG CLUSTER CPU UTILS
0|208|324|787,715,701,680,662,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0|59.96
AVG|208|324|N/A|59.96
