TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
6|400|11|57.30
12|400|15|58.71
18|400|30|63.14
24|400|45|68.08
29|400|60|72.98
40|400|75|77.96
47|400|90|82.90
115|309|90|71.27
121|300|90|70.12
204|222|90|60.16
208|207|90|58.24
213|201|90|57.47
218|200|90|57.35
298|189|90|55.94
302|107|90|45.46
309|103|90|44.95
317|100|90|44.57
390|149|90|50.83
397|200|90|57.35
483|227|90|60.80
489|300|90|70.12
577|389|90|81.50
582|400|90|82.90
705|296|90|69.61
711|190|90|56.07
715|78|90|41.76
719|6|90|32.56
722|3|90|32.18
725|1|41|19.61
728|0|0|4.41
