PASS|AVG RUNNING TIME|AVG PENDING TIME|JOB RUNNING TIME|AVG CLUSTER CPU UTILS
0|402|63|572,559,548,539,527,517,391,391,395,393,397,443,423,397,384,407,380,381,0,0|72.96
AVG|402|63|N/A|72.96
