PASS|AVG RUNNING TIME|AVG PENDING TIME|JOB RUNNING TIME|AVG CLUSTER CPU UTILS
0|209|311|621,611,601,592,577,569,0,0,0,0,0,0,0,0,113,113,115,120,109,43|56.44
AVG|209|311|N/A|56.44
