PASS|AVG RUNNING TIME|AVG PENDING TIME|JOB RUNNING TIME|AVG CLUSTER CPU UTILS
0|186|298|584,574,568,554,544,533,0,0,0,0,0,0,0,0,0,0,0,127,127,122|52.71
AVG|186|298|N/A|52.71
