PASS|AVG RUNNING TIME|AVG PENDING TIME|JOB RUNNING TIME|AVG CLUSTER CPU UTILS
0|352|174|-13,746,765,690,669,654,645,434,0,531,0,557,0,0,460,460,452,0,0,0|60.63
AVG|352|174|N/A|60.63
