TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
3|400|0|53.60
6|400|15|58.16
9|400|17|58.97
13|400|30|63.14
17|400|42|67.40
20|400|48|70.25
24|400|60|73.02
28|400|75|77.96
32|400|90|82.90
96|399|90|82.77
100|313|90|71.78
103|303|90|70.51
107|302|90|70.38
110|300|90|70.12
188|259|90|64.89
191|207|90|58.24
194|205|90|57.99
197|202|90|57.60
200|200|90|57.35
281|129|90|48.28
283|109|90|45.72
286|104|90|45.08
288|102|90|44.83
290|100|90|44.57
369|112|90|46.10
372|190|90|56.07
375|200|90|57.35
464|271|90|66.42
467|300|90|70.12
555|374|90|79.58
559|400|90|82.90
689|379|90|80.22
693|294|90|69.36
696|236|90|61.95
699|165|90|52.88
702|113|90|46.23
704|63|79|37.50
706|19|60|26.60
709|9|55|22.51
710|1|39|16.50
712|1|29|12.63
714|0|15|8.62
715|0|10|6.37
717|0|0|2.83
