PASS|AVG RUNNING TIME|AVG PENDING TIME|JOB RUNNING TIME|AVG CLUSTER CPU UTILS
0|179|298|587,571,562,553,539,527,0,0,0,0,0,0,0,0,0,0,0,0,115,127|51.74
AVG|179|298|N/A|51.74
