TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
3|400|1|54.15
7|400|15|58.20
11|400|50|67.36
14|400|75|73.40
18|400|121|84.26
23|400|126|87.07
56|400|98|82.39
60|400|107|84.82
64|400|114|88.01
69|400|115|88.22
100|375|96|80.98
105|304|82|68.93
110|301|140|80.90
114|300|140|80.77
118|300|143|81.41
140|300|147|82.26
144|300|169|86.95
148|300|171|87.37
156|300|170|87.16
160|300|171|87.37
178|300|170|87.16
182|300|171|87.37
190|283|171|85.20
194|211|172|76.21
198|203|172|75.19
202|200|172|74.81
210|200|196|79.92
283|122|206|72.08
286|109|210|71.27
290|105|223|73.53
293|100|262|81.20
297|100|265|81.84
371|103|265|82.22
375|166|265|90.27
406|178|241|86.69
410|192|247|89.76
414|192|248|89.97
418|192|249|90.18
440|192|228|85.71
444|192|225|85.07
447|192|248|89.97
451|192|249|90.18
488|192|245|89.33
501|198|245|90.10
522|198|171|74.34
526|198|188|77.96
530|216|190|80.69
534|282|190|89.12
562|291|185|89.20
567|299|180|89.16
571|300|180|89.29
597|318|166|88.61
601|318|148|84.77
604|318|165|88.39
609|318|167|88.82
622|323|167|89.46
639|323|154|86.69
642|323|140|83.71
646|323|146|84.99
682|350|145|88.22
686|361|144|89.42
690|363|143|89.46
694|363|142|89.25
698|351|142|87.71
701|268|142|77.11
705|214|140|69.44
708|156|131|59.09
710|107|85|42.19
712|60|84|34.05
714|26|81|28.51
717|13|81|25.28
720|4|33|13.18
721|1|26|10.07
723|0|0|4.03
