TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
4|400|0|53.26
11|400|15|58.03
15|400|64|70.17
20|400|75|73.40
25|400|127|85.71
61|400|126|87.84
93|400|78|77.79
99|400|81|79.28
102|400|96|84.18
106|309|96|72.55
111|303|149|83.07
116|300|163|85.67
149|300|170|87.16
160|300|171|87.37
201|203|179|76.68
206|200|179|76.30
210|200|180|76.51
215|200|199|80.56
253|200|188|78.22
265|200|191|78.85
273|200|198|80.35
277|200|199|80.56
289|122|204|71.66
293|108|206|70.29
296|103|206|69.66
300|100|250|78.64
304|100|263|81.41
337|100|262|81.20
340|100|260|80.77
344|100|263|81.41
379|170|263|90.35
383|172|263|90.61
415|172|208|78.90
427|172|218|81.03
430|172|224|82.30
442|177|224|82.94
446|200|224|85.88
461|200|236|88.44
465|200|241|89.50
469|209|241|90.65
494|209|236|89.59
499|209|241|90.65
503|220|206|84.60
507|262|193|87.20
511|262|151|78.26
519|262|173|82.94
523|262|196|87.84
531|262|204|89.54
535|286|153|81.75
539|300|172|87.59
555|300|161|85.24
563|325|161|88.44
593|327|127|81.45
598|364|135|87.88
603|364|136|88.10
625|371|136|88.99
629|372|104|82.30
634|372|110|83.58
638|372|111|83.80
655|372|121|85.92
663|372|136|89.12
667|372|135|88.91
671|372|136|89.12
676|372|135|88.91
681|372|136|89.12
689|372|135|88.91
693|372|136|89.12
697|369|136|88.74
701|306|136|80.69
705|231|136|71.10
708|158|136|61.78
711|97|135|53.77
714|46|129|44.78
716|18|126|39.33
718|11|125|37.03
721|3|67|22.42
723|1|38|14.42
724|0|21|9.26
726|0|0|3.26
