PASS|AVG RUNNING TIME|AVG PENDING TIME|JOB RUNNING TIME|AVG CLUSTER CPU UTILS
0|192|311|680,666,650,637,619,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0|68.28
AVG|192|311|N/A|68.28
