TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
3|400|0|53.26
6|400|15|58.16
12|400|30|63.14
15|400|37|66.33
19|400|45|68.08
22|400|60|73.02
25|400|65|75.79
29|400|75|77.96
32|400|90|82.86
98|366|90|78.56
101|308|90|71.15
105|302|90|70.38
108|300|90|70.12
190|243|90|62.84
193|206|90|58.11
195|205|90|57.99
198|202|90|57.60
201|200|90|57.35
279|185|90|55.43
282|121|90|47.25
284|112|90|46.10
287|105|90|45.21
289|100|90|44.57
370|114|90|46.36
372|184|90|55.30
375|199|90|57.22
381|200|90|57.35
461|218|90|59.65
465|291|90|68.97
468|300|90|70.12
553|308|90|71.15
556|387|90|81.24
560|400|90|82.90
690|366|90|78.56
693|298|90|69.87
696|236|90|61.95
699|189|90|55.94
701|136|90|49.17
704|76|90|41.50
706|23|75|30.69
708|8|60|24.51
710|7|45|18.93
711|5|30|14.42
713|0|25|11.18
714|0|16|8.03
716|0|1|4.28
717|0|0|3.00
