PASS|AVG RUNNING TIME|AVG PENDING TIME|JOB RUNNING TIME|AVG CLUSTER CPU UTILS
0|180|295|581,577,563,552,546,535,0,0,0,0,0,0,0,0,0,0,0,96,127,40|52.35
AVG|180|295|N/A|52.35
