TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
3|400|0|53.43
6|400|15|58.20
9|400|16|58.92
13|400|67|71.02
17|400|100|79.79
21|400|125|86.65
53|400|123|88.22
58|400|124|88.44
62|400|125|88.65
95|400|74|78.81
98|382|84|79.32
102|314|84|70.64
106|304|84|69.36
110|300|123|77.15
114|300|142|81.20
141|300|147|82.26
145|300|164|85.88
149|300|158|84.60
153|300|167|86.52
180|300|158|84.60
184|300|167|86.52
192|219|167|76.17
195|207|167|74.64
199|201|173|75.15
203|200|177|75.87
206|200|198|80.35
283|133|201|72.42
287|107|237|76.77
290|102|244|77.62
294|100|256|79.92
298|100|263|81.41
331|100|243|77.15
335|100|262|81.20
338|100|263|81.41
369|100|262|81.20
374|168|261|89.67
379|173|261|90.31
404|173|233|84.35
408|200|211|83.11
412|200|176|75.66
416|200|209|82.69
420|200|239|89.08
455|200|230|87.16
459|200|239|89.08
463|204|239|89.59
467|207|239|89.97
496|207|238|89.76
500|215|165|75.23
504|216|162|74.72
515|216|182|78.98
526|216|184|79.41
530|268|127|73.91
534|300|127|78.00
542|300|133|79.28
546|300|165|86.09
550|300|160|85.03
555|316|165|88.14
559|339|160|90.01
564|340|161|90.35
582|340|155|89.08
590|354|140|87.67
594|355|88|76.73
598|355|73|73.53
602|355|114|82.26
610|355|148|89.50
614|355|100|79.28
618|355|101|79.49
623|365|141|89.29
636|365|134|87.80
640|365|132|87.37
644|365|134|87.80
649|365|135|88.01
654|365|141|89.29
679|365|140|89.08
684|366|139|88.99
688|368|138|89.03
692|347|138|86.35
696|287|137|78.47
699|233|136|71.36
702|170|136|63.31
705|100|131|53.30
708|41|111|39.93
710|14|98|32.99
712|8|49|20.93
714|3|4|8.97
716|3|3|7.69
718|1|0|4.20
