PASS|AVG RUNNING TIME|AVG PENDING TIME|JOB RUNNING TIME|AVG CLUSTER CPU UTILS
0|393|113|596,591,591,575,560,550,410,464,449,507,469,475,468,466,37,432,111,128,0,0|54.99
AVG|393|113|N/A|54.99
