208,77.58,185,0,0,6,0,200,21|25|40|14|57|28,6.22|7.07|10.26|4.73|13.88|7.71
211,80.13,197,0,0,6,0,200,21|25|52|14|57|28,6.22|7.07|12.82|4.73|13.88|7.71
215,80.13,197,0,0,6,0,200,21|25|52|14|57|28,6.22|7.07|12.82|4.73|13.88|7.71
218,80.13,197,0,0,6,0,200,21|25|52|14|57|28,6.22|7.07|12.82|4.73|13.88|7.71
222,80.13,197,0,0,6,0,200,21|25|52|14|57|28,6.22|7.07|12.82|4.73|13.88|7.71
225,80.13,197,0,0,6,0,200,21|25|52|14|57|28,6.22|7.07|12.82|4.73|13.88|7.71
229,80.13,197,0,0,6,0,200,21|25|52|14|57|28,6.22|7.07|12.82|4.73|13.88|7.71
232,80.13,197,0,0,6,0,200,21|25|52|14|57|28,6.22|7.07|12.82|4.73|13.88|7.71
236,80.13,197,0,0,6,0,200,21|25|52|14|57|28,6.22|7.07|12.82|4.73|13.88|7.71
239,80.13,197,0,0,6,0,200,21|25|52|14|57|28,6.22|7.07|12.82|4.73|13.88|7.71
243,80.13,197,0,0,6,0,200,21|25|52|14|57|28,6.22|7.07|12.82|4.73|13.88|7.71
246,80.13,197,0,0,6,0,200,21|25|52|14|57|28,6.22|7.07|12.82|4.73|13.88|7.71
249,80.13,197,0,0,6,0,200,21|25|52|14|57|28,6.22|7.07|12.82|4.73|13.88|7.71
253,80.13,197,0,0,6,0,200,21|25|52|14|57|28,6.22|7.07|12.82|4.73|13.88|7.71
256,80.13,197,0,0,6,0,200,21|25|52|14|57|28,6.22|7.07|12.82|4.73|13.88|7.71
260,80.13,197,0,0,6,0,200,21|25|52|14|57|28,6.22|7.07|12.82|4.73|13.88|7.71
264,80.13,197,0,0,6,0,200,21|25|52|14|57|28,6.22|7.07|12.82|4.73|13.88|7.71
268,80.13,197,0,0,6,0,200,21|25|52|14|57|28,6.22|7.07|12.82|4.73|13.88|7.71
271,80.13,197,0,0,6,0,200,21|25|52|14|57|28,6.22|7.07|12.82|4.73|13.88|7.71
275,80.13,197,0,0,6,0,200,21|25|52|14|57|28,6.22|7.07|12.82|4.73|13.88|7.71
278,80.13,197,0,0,6,0,200,21|25|52|14|57|28,6.22|7.07|12.82|4.73|13.88|7.71
282,74.00,197,0,0,6,0,152,21|25|52|14|57|28,6.22|7.07|12.82|4.73|13.88|7.71
285,69.91,203,0,0,6,0,110,22|26|54|15|58|28,6.43|7.28|13.25|4.94|14.10|7.71
288,70.46,208,0,0,6,0,106,22|26|54|15|58|33,6.43|7.28|13.25|4.94|14.10|8.77
292,77.28,243,0,0,6,0,101,51|29|54|15|58|36,12.61|7.92|13.25|4.94|14.10|9.41
295,81.62,264,0,0,6,0,100,60|40|54|16|58|36,14.52|10.26|13.25|5.15|14.10|9.41
299,81.62,264,0,0,6,0,100,60|40|54|16|58|36,14.52|10.26|13.25|5.15|14.10|9.41
304,81.62,264,0,0,6,0,100,60|40|54|16|58|36,14.52|10.26|13.25|5.15|14.10|9.41
307,81.62,264,0,0,6,0,100,60|40|54|16|58|36,14.52|10.26|13.25|5.15|14.10|9.41
312,81.62,264,0,0,6,0,100,60|40|54|16|58|36,14.52|10.26|13.25|5.15|14.10|9.41
315,81.62,264,0,0,6,0,100,60|40|54|16|58|36,14.52|10.26|13.25|5.15|14.10|9.41
319,81.62,264,0,0,6,0,100,60|40|54|16|58|36,14.52|10.26|13.25|5.15|14.10|9.41
323,81.62,264,0,0,6,0,100,60|40|54|16|58|36,14.52|10.26|13.25|5.15|14.10|9.41
327,81.62,264,0,0,6,0,100,60|40|54|16|58|36,14.52|10.26|13.25|5.15|14.10|9.41
330,80.98,261,0,0,6,0,100,57|40|54|16|58|36,13.88|10.26|13.25|5.15|14.10|9.41
334,80.35,258,0,0,6,0,100,54|40|54|16|58|36,13.25|10.26|13.25|5.15|14.10|9.41
337,80.56,259,0,0,6,0,100,55|40|54|16|58|36,13.46|10.26|13.25|5.15|14.10|9.41
341,80.56,259,0,0,6,0,100,55|40|54|16|58|36,13.46|10.26|13.25|5.15|14.10|9.41
345,80.56,259,0,0,6,0,100,55|40|54|16|58|36,13.46|10.26|13.25|5.15|14.10|9.41
349,80.56,259,0,0,6,0,100,55|40|54|16|58|36,13.46|10.26|13.25|5.15|14.10|9.41
