TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
3|400|0|53.60
6|400|15|58.20
10|400|25|61.86
14|400|73|72.25
18|400|121|84.26
22|400|124|86.61
52|400|109|85.24
56|400|120|87.59
60|400|124|88.44
86|400|76|78.22
90|400|58|74.38
94|400|35|69.49
97|399|86|81.92
102|318|99|74.34
106|308|109|75.19
110|300|162|85.46
143|300|166|86.31
151|300|170|87.16
190|289|170|85.75
193|208|170|75.41
196|202|170|74.64
200|201|170|74.51
203|200|170|74.38
208|200|185|77.58
211|200|197|80.13
282|152|197|74.00
285|110|203|69.91
288|106|208|70.46
292|101|243|77.28
295|100|264|81.62
330|100|261|80.98
334|100|258|80.35
337|100|259|80.56
357|100|264|81.62
371|119|264|84.05
376|168|264|90.31
409|168|211|79.03
417|168|220|80.94
421|168|264|90.31
452|168|255|88.39
456|168|261|89.67
460|168|262|89.89
464|168|264|90.31
490|168|263|90.10
499|190|212|82.05
503|259|212|90.86
523|259|201|88.52
527|259|155|78.73
531|293|155|83.07
535|300|156|84.18
539|300|176|88.44
547|300|170|87.16
551|300|176|88.44
555|315|176|90.35
559|316|176|90.48
584|316|172|89.63
588|351|148|88.99
624|351|129|84.95
627|351|128|84.73
658|351|131|85.37
662|351|147|88.78
666|351|148|88.99
696|314|129|80.22
699|277|129|75.49
702|213|129|67.31
705|152|129|59.52
707|92|106|46.78
710|51|103|39.29
712|21|99|32.90
714|12|99|30.35
715|7|48|18.68
717|3|41|15.27
719|1|39|13.22
720|1|32|10.84
722|1|0|3.68
