PASS|AVG RUNNING TIME|AVG PENDING TIME|JOB RUNNING TIME|AVG CLUSTER CPU UTILS
0|205|319|620,613,611,595,591,579,0,0,0,0,0,0,0,0,0,102,102,123,131,50|54.63
AVG|205|319|N/A|54.63
