TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
4|400|4|54.79
8|400|20|59.26
11|400|74|72.51
16|400|85|76.55
21|400|126|85.67
51|400|124|88.10
55|400|121|87.46
59|400|124|88.44
95|400|79|78.85
99|351|92|75.36
102|307|92|69.74
105|305|92|69.49
109|301|106|71.96
113|300|148|80.77
142|300|158|82.90
146|300|179|87.37
151|300|174|86.31
155|300|179|89.08
177|300|174|88.01
181|300|176|88.44
186|300|179|89.08
190|288|179|87.54
194|206|179|77.07
198|202|179|76.55
202|201|189|78.56
206|200|201|80.98
210|200|203|81.41
283|139|208|74.68
286|106|212|71.32
290|101|252|79.20
294|100|258|80.35
298|100|259|80.56
373|152|259|87.20
377|177|259|90.40
406|187|253|90.40
410|189|253|90.65
439|189|222|84.05
447|189|228|85.33
451|189|248|89.59
455|189|253|90.65
492|189|251|90.23
496|190|251|90.35
501|193|251|90.74
526|193|177|74.98
530|221|187|80.69
533|300|187|90.78
558|308|187|91.80
570|308|182|90.74
574|317|182|91.89
604|317|123|79.32
608|317|113|77.19
612|317|121|78.90
616|317|140|82.94
620|326|140|84.09
624|363|140|88.82
651|363|135|87.76
655|363|136|87.97
659|363|140|88.82
692|362|140|88.69
695|286|140|78.98
699|248|140|74.13
702|180|140|65.44
705|114|137|56.37
707|55|132|46.36
710|20|73|29.15
712|9|54|21.74
714|6|41|17.57
715|3|34|14.33
717|2|27|11.65
719|1|15|7.77
720|0|0|2.70
