TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
3|400|2|54.37
6|400|15|58.20
9|400|28|62.71
13|400|30|63.65
17|400|45|68.08
21|400|60|73.02
24|400|65|75.62
28|400|75|77.96
32|400|90|82.86
98|329|90|73.83
101|309|90|71.27
105|302|90|70.38
108|300|90|70.12
188|236|90|61.95
191|205|90|57.99
194|203|90|57.73
197|200|90|57.35
279|153|90|51.34
282|117|90|46.74
285|110|90|45.85
287|101|90|44.70
290|100|90|44.57
369|108|90|45.59
372|192|90|56.32
376|200|90|57.35
462|269|90|66.16
465|300|90|70.12
552|321|90|72.81
556|398|90|82.65
560|400|90|82.90
690|338|90|74.98
694|261|90|65.14
697|187|90|55.69
700|122|90|47.38
703|65|90|40.10
706|11|72|28.17
708|8|55|22.38
710|7|38|17.27
711|5|30|13.74
713|1|15|8.67
714|1|12|6.84
716|0|0|2.88
