PASS|AVG RUNNING TIME|AVG PENDING TIME|JOB RUNNING TIME|AVG CLUSTER CPU UTILS
0|341|50|439,433,428,426,422,417,411,406,401,395,393,389,382,380,374,371,367,0,0,0|59.60
AVG|341|50|N/A|59.60
