TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
3|400|0|53.60
6|400|15|58.20
10|400|18|60.03
14|400|69|71.40
18|400|119|83.84
22|400|123|86.39
59|400|87|80.56
64|400|91|82.94
67|400|105|86.09
85|400|113|87.80
98|400|108|86.73
102|309|95|72.34
105|304|82|68.93
109|300|82|68.42
112|300|93|70.76
116|300|139|80.56
120|300|149|82.69
142|300|153|83.54
146|300|169|86.95
154|300|168|86.73
158|300|169|86.95
178|300|168|86.73
182|300|169|86.95
190|252|169|80.81
194|204|169|74.68
197|201|169|74.30
201|200|172|74.81
205|200|200|80.77
211|200|201|80.98
238|200|187|78.00
242|200|182|76.94
250|200|188|78.22
254|200|171|74.60
269|200|201|80.98
283|152|200|74.64
287|109|240|77.66
291|101|256|80.05
296|100|257|80.13
299|100|258|80.35
303|100|254|79.49
307|100|257|80.13
330|100|258|80.35
374|163|258|88.39
378|178|258|90.31
400|178|256|89.89
404|178|247|87.97
409|192|251|90.61
453|192|216|83.16
460|192|229|85.92
465|192|251|90.61
487|192|246|89.54
492|192|237|87.63
499|192|245|89.33
503|192|251|90.61
528|192|212|82.30
532|249|205|88.10
537|257|158|79.11
542|257|211|90.40
547|257|212|90.61
560|272|172|84.01
564|322|172|90.40
569|324|172|90.65
573|325|162|88.65
577|336|152|87.93
591|339|159|89.80
616|339|149|87.67
620|339|142|86.18
625|371|137|89.20
629|372|138|89.54
669|372|136|89.12
674|372|138|89.54
694|319|138|82.77
698|258|138|74.98
701|197|138|67.19
704|131|138|58.75
707|63|130|47.85
709|22|122|39.33
712|11|119|35.71
714|5|114|33.03
716|1|64|20.81
718|0|58|17.82
720|0|15|7.77
721|0|0|3.05
