TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
3|400|0|53.43
6|400|15|58.20
12|400|68|71.19
16|400|85|76.55
20|400|123|85.37
58|400|82|79.66
62|400|97|82.86
67|400|112|87.59
83|400|114|88.01
99|353|114|82.01
102|307|101|73.36
106|302|119|76.55
110|300|147|82.26
144|300|155|83.97
148|300|168|86.73
191|227|168|77.41
195|205|168|74.60
199|201|196|80.05
202|200|198|80.35
232|200|192|79.07
235|200|190|78.64
243|200|194|79.49
261|200|198|80.35
277|200|197|80.13
281|184|197|78.09
284|107|212|71.44
288|105|260|81.41
292|100|261|80.98
295|100|263|81.41
371|116|263|83.45
376|169|263|90.23
413|169|213|79.58
417|169|218|80.64
420|169|219|80.86
428|169|234|84.05
432|169|247|86.82
436|175|247|87.59
441|190|247|89.50
461|190|244|88.86
465|198|243|89.67
469|205|239|89.72
498|226|189|81.75
503|271|189|87.50
507|271|177|84.95
511|271|185|86.65
515|271|193|88.35
530|281|193|89.63
538|281|187|88.35
542|281|191|89.20
546|281|187|88.35
554|284|191|89.59
579|284|190|89.37
584|284|191|89.59
588|293|160|84.14
593|338|160|89.89
610|338|158|89.46
614|338|128|83.07
618|338|132|83.92
622|378|99|82.01
627|400|114|88.01
631|400|91|83.11
635|400|115|88.22
654|400|114|88.01
672|400|110|87.16
676|400|112|87.59
681|400|115|88.22
684|400|113|87.80
688|400|112|87.59
692|380|112|85.03
696|303|112|75.19
699|224|112|65.10
702|157|112|56.54
705|98|110|48.57
708|50|89|37.12
710|19|50|23.49
712|12|49|20.29
714|7|43|17.19
716|2|36|14.50
717|0|3|6.07
719|0|0|4.03
