TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
3|400|1|53.81
6|400|15|58.20
9|400|19|59.90
13|400|70|71.66
17|400|96|78.90
21|400|125|86.14
56|400|115|86.52
61|400|97|82.69
65|400|111|87.37
69|400|112|87.59
82|400|115|88.22
99|361|115|83.24
103|316|79|69.83
107|305|79|68.42
110|301|79|67.91
114|300|79|67.78
118|300|120|76.51
122|300|160|85.03
143|300|166|86.31
147|300|171|87.37
159|300|153|83.54
164|300|171|87.37
177|300|154|83.75
180|300|157|84.39
184|300|164|85.88
188|299|171|87.24
192|223|171|77.53
196|204|188|78.73
200|200|202|81.20
280|196|202|80.69
284|113|218|73.49
287|105|229|74.81
290|100|230|74.38
294|100|233|75.02
310|100|240|76.51
317|100|250|78.64
320|100|260|80.77
375|177|260|90.61
406|177|250|88.48
410|177|213|80.60
414|177|224|82.94
438|197|224|85.50
441|200|237|88.65
464|221|237|91.33
476|221|235|90.91
481|221|237|91.33
497|226|217|87.71
501|254|217|91.29
513|254|202|88.10
517|254|153|77.66
521|254|145|75.96
525|254|187|84.90
528|291|188|89.84
532|293|188|90.10
557|295|179|88.44
561|326|166|89.63
565|329|166|90.01
598|332|152|87.42
602|332|158|88.69
606|336|161|89.84
622|339|161|90.23
637|339|129|83.41
644|339|137|85.12
679|339|135|84.69
683|375|133|88.86
694|301|133|79.41
698|250|133|72.89
701|178|133|63.69
704|133|133|57.94
706|77|117|47.38
708|25|62|27.62
710|15|57|23.91
712|7|56|21.27
714|5|54|18.51
716|4|51|16.72
717|0|49|14.72
719|0|0|3.94
