TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
3|400|0|53.26
6|400|15|58.20
12|400|30|63.14
15|400|40|66.97
18|400|45|68.08
21|400|59|72.81
25|400|60|74.21
30|400|75|77.96
40|400|90|82.90
97|393|90|82.01
100|309|90|71.27
103|304|90|70.64
107|303|90|70.51
110|300|90|70.12
188|291|90|68.97
191|219|90|59.77
194|211|90|58.75
197|203|90|57.73
200|200|90|57.35
278|199|90|57.22
281|147|90|50.58
283|121|90|47.25
285|113|90|46.23
288|105|90|45.21
290|101|90|44.70
293|100|90|44.57
371|169|90|53.39
374|200|90|57.35
463|266|90|65.78
466|300|90|70.12
553|349|90|76.38
557|400|90|82.90
690|343|90|75.62
694|280|90|67.57
697|211|90|58.75
699|147|90|50.58
702|95|90|43.93
704|54|80|36.56
706|11|65|26.85
708|5|55|22.17
710|1|45|18.80
712|1|30|14.72
713|0|15|9.52
715|0|11|7.43
716|0|0|3.73
