TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
3|400|0|53.26
6|400|15|58.20
11|400|16|59.09
14|400|75|72.72
18|400|115|82.94
22|400|127|87.29
56|400|124|88.10
60|400|94|81.71
64|400|106|85.97
68|400|109|86.61
85|400|117|88.31
101|322|86|72.08
105|305|86|69.91
109|301|86|69.40
113|300|91|70.34
118|300|146|82.05
122|300|132|79.07
126|300|154|83.75
130|300|155|83.97
147|300|168|86.73
159|300|164|85.88
167|300|168|86.73
193|210|168|75.23
197|204|168|74.47
200|201|172|74.94
205|200|193|79.28
209|200|199|80.56
283|153|199|74.55
286|108|230|75.41
290|103|234|75.62
294|100|245|77.58
298|100|260|80.77
374|167|260|89.33
378|174|260|90.23
716|178|249|88.39
720|196|223|85.16
725|251|210|89.08
730|247|210|87.67
733|206|153|68.38
737|175|114|55.43
743|108|114|45.64
747|18|102|31.41
749|7|95|28.51
752|3|95|26.26
756|0|54|16.97
757|0|0|3.22
