TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
6|400|11|57.30
11|400|15|58.54
16|400|30|63.14
21|400|44|67.82
26|400|45|68.59
31|400|60|73.02
37|400|74|77.70
45|400|76|79.20
51|400|90|82.90
116|360|90|77.79
122|305|90|70.76
129|300|90|70.12
209|225|90|60.54
214|206|90|58.11
219|200|90|57.35
301|132|90|48.66
307|104|90|45.08
311|100|90|44.57
393|184|90|55.30
400|200|90|57.35
489|300|90|70.12
580|400|90|82.90
704|310|90|71.40
709|198|90|57.09
714|99|90|44.44
718|18|90|34.09
723|3|90|32.18
727|0|9|9.48
730|0|0|3.56
