TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
3|400|0|53.60
6|400|15|58.20
9|400|20|60.97
12|400|73|72.25
16|400|101|80.00
20|400|124|85.58
56|400|122|88.01
59|400|88|80.77
63|400|100|85.03
67|400|103|85.67
83|400|114|88.01
98|352|101|79.11
102|306|91|71.10
106|303|104|73.49
109|300|138|80.35
113|300|139|80.56
116|300|107|73.74
120|300|113|75.02
124|300|151|83.11
128|300|154|83.75
143|300|157|84.39
147|300|171|87.37
158|300|161|85.24
162|300|162|85.46
166|300|171|87.37
181|300|169|86.95
184|300|161|85.24
188|299|161|85.12
192|210|169|75.45
195|201|178|76.21
199|200|203|81.41
203|200|199|80.56
206|200|203|81.41
280|194|203|80.64
283|114|211|72.13
287|105|230|75.02
291|100|245|77.58
295|100|258|80.35
374|172|258|89.54
378|180|258|90.57
698|166|258|88.78
701|147|258|86.35
705|106|258|81.11
709|52|215|64.67
712|17|187|52.36
714|7|131|37.93
716|4|87|26.77
718|1|62|19.19
720|1|57|17.06
722|0|1|3.81
723|0|0|2.66
