TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
2|400|0|53.26
5|400|2|54.37
8|400|15|58.20
15|400|30|63.14
21|400|44|67.70
25|400|45|68.08
28|400|60|73.02
35|400|74|77.70
39|400|75|77.96
43|400|90|82.73
110|339|90|75.11
113|310|90|71.40
116|303|90|70.51
120|300|90|70.12
199|295|90|69.49
202|220|90|59.90
205|208|90|58.37
208|203|90|57.73
211|200|90|57.35
290|179|90|54.66
293|122|90|47.38
295|110|90|45.85
298|107|90|45.46
301|101|90|44.70
303|100|90|44.57
380|116|90|46.61
383|184|90|55.30
386|200|90|57.35
474|268|90|66.04
477|300|90|70.12
567|383|90|80.73
570|400|90|82.90
689|364|90|78.30
693|297|90|69.74
696|219|90|59.77
699|161|90|52.36
701|107|90|45.46
704|46|90|37.67
706|17|90|33.97
709|6|90|32.56
711|3|90|32.18
713|1|39|20.21
715|0|0|6.11
