PASS|AVG RUNNING TIME|AVG PENDING TIME|JOB RUNNING TIME|AVG CLUSTER CPU UTILS
0|364|30|441,437,431,426,420,414,414,407,403,396,392,391,386,380,374,369,365,0,229,222|60.73
AVG|364|30|N/A|60.73
