PASS|AVG RUNNING TIME|AVG PENDING TIME|JOB RUNNING TIME|AVG CLUSTER CPU UTILS
0|440|59|602,592,582,569,559,557,479,467,463,475,442,346,475,378,455,334,332,334,361,0|73.82
AVG|440|59|N/A|73.82
