TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
3|400|0|53.26
6|400|15|58.20
9|400|30|62.24
13|400|75|72.72
17|400|127|85.54
21|400|128|86.95
57|400|126|88.01
94|400|100|82.82
98|387|96|80.30
102|310|68|64.50
106|307|68|64.12
110|301|77|65.27
113|300|98|69.61
117|300|128|76.00
140|300|133|77.07
144|300|140|78.56
149|300|180|87.59
181|300|170|87.16
185|300|178|88.86
189|300|180|89.29
193|222|180|79.32
196|209|200|81.92
200|201|201|81.11
204|200|206|82.05
221|200|205|81.84
229|200|206|82.05
282|151|206|75.79
286|117|220|74.43
289|104|238|76.60
293|100|256|79.92
297|100|257|80.13
354|100|250|78.64
358|100|253|79.28
361|100|257|80.13
374|167|257|88.69
378|184|257|90.86
709|184|249|89.16
714|187|214|82.09
719|261|209|90.48
723|273|200|89.93
728|289|202|90.82
737|298|149|80.35
745|301|149|79.32
748|275|144|74.94
752|255|104|63.86
755|205|103|57.26
757|138|103|48.70
760|89|103|42.44
762|31|103|34.35
764|16|103|31.71
766|6|64|21.61
768|2|54|17.91
769|2|42|15.01
771|1|42|13.14
772|1|2|4.45
774|1|0|2.45
