PASS|AVG RUNNING TIME|AVG PENDING TIME|JOB RUNNING TIME|AVG CLUSTER CPU UTILS
0|440|67|603,597,582,579,563,560,512,512,519,470,484,484,477,401,452,443,43,123,407,0|56.94
AVG|440|67|N/A|56.94
