PASS|AVG RUNNING TIME|AVG PENDING TIME|JOB RUNNING TIME|AVG CLUSTER CPU UTILS
0|446|38|594,584,570,561,550,541,434,436,453,435,435,459,453,341,339,351,339,356,348,359|71.94
AVG|446|38|N/A|71.94
