TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
3|400|0|53.60
7|400|15|58.20
10|400|21|61.01
14|400|30|63.14
17|400|45|68.08
21|400|56|72.13
25|400|60|73.87
28|400|75|77.96
32|400|90|82.86
97|387|90|81.24
100|310|90|71.40
104|304|90|70.64
108|300|90|70.12
190|232|90|61.44
193|210|90|58.62
196|205|90|57.99
200|201|90|57.47
203|200|90|57.35
280|164|90|52.75
283|120|90|47.13
286|112|90|46.10
288|105|90|45.21
291|100|90|44.57
371|150|90|50.96
374|199|90|57.22
377|200|90|57.35
464|271|90|66.42
468|300|90|70.12
555|360|90|77.79
559|400|90|82.90
692|332|90|74.21
695|267|90|65.91
698|198|90|57.09
701|141|90|49.81
703|81|90|42.14
706|33|75|32.47
708|11|60|24.51
710|3|45|18.59
712|2|30|14.20
714|1|18|10.29
715|0|13|7.52
716|0|0|4.03
