TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
5|400|0|53.26
9|400|15|58.20
17|400|30|63.14
23|400|34|64.67
28|400|45|68.08
34|400|60|73.02
39|400|70|76.85
45|400|75|77.96
53|400|90|82.90
114|387|90|81.24
119|308|90|71.15
124|302|90|70.38
131|300|90|70.12
213|235|90|61.82
217|205|90|57.99
221|201|90|57.47
229|200|90|57.35
303|191|90|56.20
310|104|90|45.08
315|100|90|44.57
400|200|90|57.35
492|300|90|70.12
583|381|90|80.47
591|400|90|82.90
708|320|90|72.68
715|222|90|60.16
720|91|90|43.42
724|11|90|33.20
728|7|87|31.88
731|0|12|10.03
734|0|0|4.07
