TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
3|400|0|53.94
6|400|15|58.20
10|400|21|61.05
13|400|71|71.87
17|400|106|81.03
21|400|124|86.44
54|400|113|86.09
58|400|122|88.01
62|400|124|88.44
95|400|79|80.05
99|360|92|78.05
103|311|95|72.42
107|302|138|80.43
111|300|143|81.24
115|300|144|81.45
141|300|152|83.16
145|300|166|86.14
148|300|170|86.99
189|288|170|85.63
193|208|172|75.83
197|204|193|79.79
200|201|195|79.83
204|200|196|79.92
208|200|197|80.13
283|133|200|72.21
286|105|228|74.60
290|103|239|76.68
293|100|246|77.79
297|100|260|80.77
373|154|260|87.67
378|172|260|89.97
409|172|231|83.80
417|172|243|86.35
421|172|260|89.97
448|172|258|89.54
456|172|260|89.97
484|174|258|89.80
489|176|258|90.06
497|178|218|81.79
500|242|218|89.97
504|243|218|90.10
516|243|199|86.05
520|243|170|79.88
523|243|175|80.94
527|243|208|87.97
531|251|208|88.99
534|255|208|89.50
546|255|186|84.82
550|255|189|85.46
559|257|207|89.54
568|271|197|89.20
572|273|197|89.46
593|278|142|78.39
598|317|128|80.39
602|318|129|80.73
609|318|109|76.47
613|318|138|82.65
617|318|158|86.90
622|323|158|87.54
626|340|158|89.72
650|340|153|88.65
658|340|154|88.86
678|340|155|89.08
682|342|155|89.33
686|346|155|89.84
694|291|155|82.82
698|257|155|78.47
701|199|155|71.06
704|137|155|63.14
707|79|134|51.26
709|26|110|37.63
712|10|92|31.24
713|5|81|26.34
715|2|42|16.72
717|1|10|8.07
718|1|6|5.64
720|1|0|2.96
