PASS|AVG RUNNING TIME|AVG PENDING TIME|JOB RUNNING TIME|AVG CLUSTER CPU UTILS
0|407|67|583,571,564,552,539,533,397,405,392,392,406,394,416,406,414,403,401,389,0,0|72.20
AVG|407|67|N/A|72.20
