PASS|AVG RUNNING TIME|AVG PENDING TIME|JOB RUNNING TIME|AVG CLUSTER CPU UTILS
0|437|31|577,561,548,538,525,518,438,435,431,435,453,438,421,421,340,332,325,341,343,331|70.93
AVG|437|31|N/A|70.93
