TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
4|400|0|54.28
9|400|21|59.48
12|400|75|72.72
15|400|84|76.34
19|400|124|84.90
56|400|117|86.95
60|400|123|88.22
65|400|124|88.44
89|400|101|83.54
93|400|80|79.07
97|400|90|82.90
102|350|104|79.49
106|305|116|76.30
110|301|154|83.88
114|300|168|86.73
146|300|163|85.67
150|300|168|86.73
190|300|167|86.52
194|248|167|79.88
198|213|167|75.41
202|201|194|79.62
206|200|197|80.13
288|108|197|68.38
291|102|200|68.25
294|101|209|70.04
298|100|226|73.53
301|100|266|82.05
340|100|257|80.13
351|100|260|80.77
355|100|261|80.98
362|100|263|81.41
366|100|265|81.84
370|100|266|82.05
374|105|266|82.69
378|166|266|90.48
391|166|265|90.27
395|166|266|90.48
426|166|209|78.34
430|166|249|86.86
433|166|196|75.58
440|193|196|79.03
444|200|209|82.69
448|200|234|88.01
470|229|234|91.72
478|229|227|90.23
482|244|210|88.52
486|286|190|89.63
490|288|190|89.89
502|294|190|90.65
515|294|144|80.86
518|294|129|77.66
522|294|125|76.81
525|294|127|77.24
529|294|140|80.00
533|300|165|86.09
559|330|165|89.93
563|330|164|89.72
567|331|164|89.84
575|331|163|89.63
579|331|164|89.84
600|331|108|77.92
604|331|109|78.13
607|331|105|77.28
611|331|116|79.62
615|331|135|83.67
622|361|135|87.50
626|367|135|88.27
650|367|130|87.20
654|367|131|87.42
682|367|133|87.84
686|368|134|88.18
695|359|134|87.03
698|284|134|77.45
702|243|134|72.21
705|180|134|64.16
708|118|134|56.24
710|62|83|37.88
713|21|60|26.00
715|11|50|20.51
716|6|46|18.29
718|2|44|15.99
720|0|38|13.27
721|0|27|10.37
723|0|0|3.90
