TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
5|400|0|54.28
11|400|27|60.75
17|400|75|72.72
23|400|122|84.43
30|400|130|86.18
72|400|128|87.59
107|400|99|81.75
114|400|92|81.62
122|305|127|76.94
129|300|178|87.16
136|300|180|87.59
166|300|178|88.86
209|251|178|82.60
214|208|179|77.32
221|200|194|79.49
227|200|195|79.71
233|200|196|79.92
304|114|196|68.93
309|101|197|67.48
315|100|201|68.21
322|100|228|73.96
331|100|263|81.41
395|166|263|89.84
430|166|213|79.20
437|166|217|80.05
442|166|226|81.96
450|166|229|82.60
458|171|230|83.45
465|200|233|87.80
479|200|234|88.01
485|212|232|89.12
500|212|228|88.27
508|220|228|89.29
522|220|176|78.22
534|220|169|76.73
541|220|206|84.60
549|220|216|86.73
556|237|216|88.91
585|243|212|88.82
593|246|210|88.78
624|329|146|85.75
632|329|150|86.61
652|346|150|88.78
660|346|145|87.71
667|346|146|87.93
674|346|147|88.14
689|346|150|88.78
704|346|149|88.57
711|347|148|88.48
717|255|146|76.30
724|134|145|60.63
729|22|145|46.32
733|3|65|22.51
737|1|2|5.77
740|1|0|3.13
