PASS|AVG RUNNING TIME|AVG PENDING TIME|JOB RUNNING TIME|AVG CLUSTER CPU UTILS
0|190|316|628,616,615,603,585,581,0,0,0,0,0,0,0,0,0,0,0,34,38,113|51.58
AVG|190|316|N/A|51.58
