TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
3|400|0|53.26
6|400|15|58.20
9|400|19|59.90
12|400|30|63.14
15|400|38|66.55
18|400|45|68.08
22|400|60|73.02
26|400|66|76.00
29|400|75|78.30
33|400|90|82.90
99|329|90|73.83
103|311|90|71.53
106|305|90|70.76
109|301|90|70.25
113|300|90|70.12
190|232|90|61.44
193|206|90|58.11
196|203|90|57.73
199|202|90|57.60
201|200|90|57.35
279|161|90|52.36
282|108|90|45.59
284|105|90|45.21
288|102|90|44.83
290|100|90|44.57
369|107|90|45.46
372|181|90|54.92
375|200|90|57.35
462|245|90|63.10
465|300|90|70.12
555|369|90|78.94
559|400|90|82.90
691|320|90|72.68
695|252|90|63.99
698|192|90|56.32
700|127|90|48.02
703|72|90|40.99
706|23|73|29.54
708|13|59|24.04
710|6|42|18.12
712|4|30|14.42
713|2|15|10.07
715|0|9|7.01
716|0|0|3.05
