PASS|AVG RUNNING TIME|AVG PENDING TIME|JOB RUNNING TIME|AVG CLUSTER CPU UTILS
0|386|8|440,435,428,427,418,416,411,405,401,395,391,387,381,376,370,367,361,358,352,217|56.03
AVG|386|8|N/A|56.03
