TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
3|400|1|53.98
7|400|15|58.20
10|400|62|69.95
15|400|75|73.40
19|400|126|85.33
56|400|119|87.20
60|400|124|88.44
64|400|125|88.65
93|400|108|85.03
97|400|75|79.71
101|314|75|68.72
105|303|109|74.55
109|300|133|79.28
143|300|142|81.20
147|300|167|86.52
185|300|165|86.09
190|300|167|86.52
193|208|167|74.77
197|201|169|74.30
201|200|169|74.17
209|200|185|77.58
213|200|196|79.92
281|168|196|75.83
285|114|205|70.85
289|106|231|75.36
292|100|262|81.20
296|100|264|81.62
333|100|263|81.41
341|100|264|81.62
368|100|260|80.77
372|114|264|83.41
377|166|264|90.06
407|184|232|85.54
411|192|232|86.56
416|192|233|86.78
420|192|245|89.33
441|200|245|90.35
445|200|210|82.90
450|200|185|77.58
454|200|201|80.98
458|200|234|88.01
462|200|245|90.35
467|201|245|90.48
491|201|235|88.35
496|201|234|88.14
500|220|234|90.57
524|220|230|89.72
528|220|161|75.02
532|263|128|73.49
537|299|137|80.00
542|300|175|88.22
547|300|176|88.44
555|305|176|89.08
560|314|176|90.23
574|315|163|87.59
579|336|160|89.63
616|336|123|81.75
624|389|123|88.52
695|368|123|85.84
698|289|123|75.75
702|218|123|66.67
705|154|123|58.50
708|91|99|45.34
710|40|91|35.37
712|15|63|24.64
714|9|63|22.64
716|5|44|17.91
718|3|3|7.69
719|1|2|5.52
720|1|0|4.54
722|0|0|3.17
