PASS|AVG RUNNING TIME|AVG PENDING TIME|JOB RUNNING TIME|AVG CLUSTER CPU UTILS
0|427|45|575,564,556,541,532,521,446,441,453,448,450,456,434,340,342,349,349,386,0,360|73.53
AVG|427|45|N/A|73.53
