TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
3|400|0|53.26
6|400|15|58.16
9|400|16|59.26
12|400|30|63.14
15|400|34|65.69
18|400|45|68.08
22|400|60|73.02
25|400|64|75.41
28|400|75|77.96
32|400|90|82.86
98|340|90|75.23
102|309|90|71.27
105|304|90|70.64
108|301|90|70.25
112|300|90|70.12
188|285|90|68.21
191|208|90|58.37
194|203|90|57.73
196|202|90|57.60
199|200|90|57.35
279|187|90|55.69
281|115|90|46.49
284|109|90|45.72
286|104|90|45.08
289|100|90|44.57
370|152|90|51.21
373|197|90|56.96
376|200|90|57.35
461|229|90|61.05
465|300|90|70.12
554|369|90|78.94
558|400|90|82.90
696|332|90|74.21
699|268|90|66.04
702|202|90|57.60
704|147|76|47.59
707|93|62|36.69
709|46|46|26.43
711|18|31|17.48
713|12|16|11.61
714|8|15|8.62
716|4|15|7.77
717|1|15|7.39
719|0|15|7.26
721|0|0|3.39
