PASS|AVG RUNNING TIME|AVG PENDING TIME|JOB RUNNING TIME|AVG CLUSTER CPU UTILS
0|381|85|570,561,551,542,529,519,444,422,430,320,432,451,442,425,0,0,336,324,0,334|71.59
AVG|381|85|N/A|71.59
