TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
3|401|0|53.39
6|401|15|58.33
9|401|18|59.65
12|401|67|71.15
16|400|102|80.18
20|400|126|86.18
51|400|123|87.88
55|400|121|87.46
60|400|124|88.44
85|400|117|86.95
89|400|73|77.58
93|400|34|69.27
97|400|73|79.28
100|319|102|75.11
104|305|102|73.32
108|301|156|84.31
112|300|164|85.88
140|300|161|85.24
144|300|164|85.88
147|300|167|86.52
151|300|169|86.95
187|300|165|86.09
190|253|166|80.30
194|204|166|74.04
198|201|191|78.98
202|200|191|78.85
206|200|192|79.07
282|131|197|71.32
286|104|205|69.57
289|101|217|71.74
292|100|255|79.71
296|100|262|81.20
299|100|263|81.41
375|169|263|90.23
406|169|218|80.64
417|169|224|81.92
421|169|251|87.67
425|169|262|90.01
439|170|262|90.14
450|170|261|89.93
465|172|260|89.97
469|174|260|90.23
473|175|259|90.14
477|176|259|90.27
498|224|212|86.39
502|260|177|83.54
506|261|184|85.16
511|261|209|90.48
515|261|211|90.91
530|262|211|91.04
546|262|209|90.61
554|265|207|90.57
558|269|207|91.08
587|269|183|85.97
592|312|183|91.46
623|368|141|89.67
627|378|141|90.95
631|378|124|87.33
635|378|114|85.20
639|378|141|90.95
675|378|112|84.77
679|378|126|87.76
684|389|132|90.44
695|322|132|81.88
699|254|132|73.19
702|193|132|65.40
705|134|132|57.86
707|80|102|43.89
709|23|100|35.33
711|14|78|28.98
713|10|49|20.38
715|3|32|15.35
716|1|20|10.41
718|0|20|8.54
719|0|1|3.94
721|0|0|3.00
