TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
5|400|0|53.26
10|400|15|58.20
15|400|23|61.65
20|400|30|63.14
24|400|45|68.08
29|400|55|71.74
34|400|60|73.02
40|400|75|77.96
46|400|88|82.47
52|400|90|82.90
113|388|90|81.37
118|301|90|70.25
125|300|90|70.12
205|237|90|62.07
210|204|90|57.86
215|200|90|57.35
295|141|90|49.81
301|102|90|44.83
305|100|90|44.57
388|170|90|53.51
392|200|90|57.35
483|300|90|70.12
575|308|90|71.15
581|400|90|82.90
706|344|90|75.75
711|220|90|59.90
715|128|90|48.15
719|50|90|38.18
723|10|90|33.07
727|1|53|22.13
731|0|0|5.52
